"outcome","term","estimate","std.error","rep","seed"
"irae","cancer.typeKidney",-0.124868332963921,0.0652096904755865,9,1009
"irae","cancer.typeMelanoma",0.0826510726220574,0.0572209402845599,9,1009
"irae","practice.typeCommunity",-0.0215239105615825,0.0339410908877831,9,1009
"irae","tx.combo",0.133182815669381,0.0318143663139143,9,1009
"irae","pd.l1Low",0.0514000916478344,0.0370478756709423,9,1009
"irae","pd.l1High",0.198793034996063,0.0416273375062978,9,1009
"irae","on.ici",0.323081576252291,0.048503541838003,9,1009
"death","(Intercept)",-9.1730407979068,0.0953468430869897,10,1010
"death","ns(month, df = 3)1",0.532767052016894,0.0476846985307636,10,1010
"death","ns(month, df = 3)2",0.809078974691769,0.0845364636157411,10,1010
"death","ns(month, df = 3)3",0.92042417103228,0.0430858608477578,10,1010
"death","age",0.0507408699478589,0.00109093411876976,10,1010
"death","sexFemale",0.00938249749159584,0.0199132725221903,10,1010
"death","ecog1",0.533629493399122,0.0230296918775308,10,1010
"death","ecog2",1.01380023194825,0.0302902992732664,10,1010
"death","ecog3",1.38088061650106,0.046430483059828,10,1010
